 2.00175    0.262067    6.59033    7.83418    5.23086    0.109502    0.113883    0.350393    3.03967    0.372576    1.14506    2.32907    3.90676    -6.61441    4.15098    -6.68657    7.95485    3.09539    -3.75304    -5.93796    6.23644    2.10572    1.61738    -0.598638   
 2.0022    0.24164    6.58629    7.83172    5.26817    0.108011    0.11237    0.345889    3.10251    0.369015    1.13139    2.30725    3.88563    -6.59491    4.13063    -6.64433    7.9555    2.7497    -3.83616    -5.79068    6.31544    2.43013    1.9825    -2.28035   
 2.00303    0.269588    6.67917    7.83907    5.24045    0.109413    0.113793    0.350107    2.96816    0.367924    1.14048    2.27699    4.10742    -6.62906    4.28171    -6.6311    7.95502    3.00766    -3.77524    -5.90036    6.27783    2.2787    1.81256    -1.65895   
 2.00325    0.288762    6.70356    7.8417    5.21113    0.110269    0.114657    0.352778    3.08055    0.372541    1.14332    2.3323    4.15908    -6.6437    4.31414    -6.54837    7.9545    3.2656    -3.70222    -6.01367    6.25941    2.20357    1.72809    -1.21265   
 2.00225    0.254985    6.62287    7.83333    5.24161    0.109181    0.113553    0.349504    3.07023    0.368197    1.12275    2.30916    3.95221    -6.59713    4.16669    -6.51078    7.95504    2.99184    -3.77737    -5.89463    6.28969    2.31079    1.84583    -1.80172   
 1.99839    0.268525    6.6309    7.83406    5.25385    0.108514    0.112874    0.347565    3.0632    0.373403    1.14248    2.34324    3.96568    -6.60074    4.17332    -6.44754    7.95525    2.87642    -3.80457    -5.84581    6.23215    2.0811    1.58848    -0.378   
 2.0009    0.284759    6.69784    7.84157    5.26802    0.107986    0.112333    0.346062    3.12998    0.373789    1.14348    2.34829    4.15376    -6.6445    4.31398    -6.58796    7.95549    2.73707    -3.83195    -5.78839    6.27111    2.25167    1.78222    -1.59838   
 2.00224    0.281109    6.70066    7.84128    5.27147    0.108116    0.112472    0.346324    3.03984    0.371949    1.14479    2.32183    4.15628    -6.64115    4.31371    -6.57268    7.95556    2.71216    -3.84151    -5.77632    6.24978    2.16336    1.68272    -1.02545   
 1.99625    0.297914    6.6466    7.84008    5.24745    0.108655    0.113016    0.347998    3.08693    0.373531    1.14472    2.34222    4.03829    -6.64725    4.23902    -6.55519    7.95514    2.93009    -3.78715    -5.87008    6.25065    2.16683    1.68658    -1.11005   
 2.00057    0.253251    6.61385    7.83298    5.22593    0.110416    0.114806    0.353233    3.09764    0.374417    1.13848    2.36173    3.93752    -6.59702    4.15968    -6.55038    7.95476    3.12925    -3.73661    -5.95549    6.22359    2.05041    1.5547    -0.200095   
 2.00196    0.283706    6.69566    7.84262    5.26776    0.107997    0.112347    0.346055    3.09243    0.373591    1.14139    2.34768    4.16112    -6.65423    4.3247    -6.64543    7.95549    2.74071    -3.8322    -5.78967    6.24634    2.14416    1.66024    -0.882116   
 1.99957    0.291259    6.71475    7.84293    5.20563    0.110377    0.114777    0.352859    3.09451    0.371732    1.13956    2.32836    4.19197    -6.65095    4.33869    -6.54839    7.95442    3.33421    -3.69265    -6.03913    6.27673    2.27062    1.80285    -1.59375   
 1.99927    0.268919    6.61193    7.83553    5.30548    0.106506    0.110824    0.341748    3.08229    0.372142    1.14239    2.32885    3.95204    -6.61932    4.17869    -6.61566    7.95614    2.37094    -3.90286    -5.63713    6.27021    2.24394    1.77283    -1.56114   
 2.00268    0.262189    6.61111    7.83331    5.24428    0.108823    0.113187    0.348491    3.12099    0.377178    1.13892    2.39367    3.92852    -6.60044    4.15316    -6.54322    7.95508    2.97006    -3.78385    -5.88464    6.19128    1.91344    1.39991    0.970864   
